"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Bruno Caboclo,,1.5,0.4,0.1,0.0,-0.1,-0.1,-0.3
Mario Bennett,73.0,1.5,0.5,0.0,-0.1,,,
Chris Singleton,65.5,1.5,0.5,0.2,,,,
Brian Evans,61.8,1.5,0.1,0.1,,,,
Red Morrison,60.3,1.7,0.5,0.0,,,,
Roy Rogers,60.2,1.4,0.4,-0.1,,,,
Perry Jones,60.1,1.5,0.2,0.0,,,,
Ish Wainright,59.1,1.7,0.6,0.0,,,,
Michael Bradley,58.5,1.5,0.2,0.1,0.1,0.0,,
KornÃ©l DÃ¡vid,57.3,1.7,0.4,0.3,,,,
Ron Riley,56.8,1.6,0.7,0.2,0.0,,,
