Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2017-18,21,DEN,NBA,PF,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,
2018-19,22,DEN,NBA,PF,25,0,94,9,18,0.5,4,10,0.4,5,8,0.625,0.611,1,3,0.333,7,11,18,6,2,0,4,10,23,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,26,0,96,9,18,0.5,4,10,0.4,5,8,0.625,0.611,1,3,0.333,7,11,18,6,2,0,4,10,23,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,303,28,57,0.5,13,32,0.4,16,25,0.625,0.611,3,9,0.333,22,35,57,19,6,0,13,32,73,0,
