Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2024-25,20,CHI,NBA,SF,80,31,18.9,3.2,6.9,0.454,1.2,3.3,0.361,2.0,3.6,0.54,0.541,1.1,1.4,0.815,0.7,2.8,3.5,1.0,0.4,0.9,0.9,1.6,8.6,ROY-7
2025-26,21,CHI,NBA,PF,20,20,28.3,4.9,10.8,0.454,1.6,4.7,0.344,3.3,6.2,0.537,0.528,2.2,2.8,0.8,1.2,4.5,5.6,1.6,0.8,1.5,1.9,2.9,13.6,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,100,51,20.8,3.5,7.7,0.454,1.3,3.6,0.357,2.2,4.1,0.539,0.537,1.3,1.6,0.81,0.8,3.1,3.9,1.1,0.5,1.1,1.1,1.9,9.6,
