"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
MarShon Brooks,,1.3,0.8,0.7,0.4,0.1
JaKarr Sampson,90.3,1.2,0.8,0.6,0.5,0.1
Reggie Jordan,87.0,1.2,0.8,0.6,0.4,0.3
Steve Alford,84.5,1.4,0.9,0.6,0.3,
Saben Lee,84.4,1.5,0.9,0.7,0.4,
Dante Exum,80.9,1.2,1.0,0.7,0.4,-0.1
Svi Mykhailiuk,78.2,1.6,0.8,0.8,0.3,-0.1
Malachi Flynn,77.8,1.0,0.8,0.5,0.5,0.0
Royal Ivey,76.0,0.9,0.7,0.5,0.3,0.2
John Warren,75.3,1.7,0.9,0.8,0.5,0.3
Cameron Payne,74.3,1.4,0.8,0.5,0.5,-0.3
