"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Shelden Williams,,2.2,2.1,2.0,1.9,1.2,0.5
Mark Acres,87.5,2.5,2.2,1.9,1.6,0.9,0.3
Robert Traylor,84.7,2.5,2.5,2.4,1.9,1.2,1.0
Earl Cureton,83.8,2.6,2.1,2.0,1.2,1.0,0.8
Jason Smith,83.6,2.2,1.7,1.6,1.5,0.9,0.7
Willie Burton,82.6,2.6,2.1,2.0,1.6,0.5,0.1
Taurean Prince,82.4,2.2,2.0,1.5,1.1,1.0,0.6
Chucky Brown,82.0,2.2,2.2,2.1,1.6,0.3,0.0
Omri Casspi,81.1,2.7,2.5,2.5,2.4,1.2,0.7
Mark Bryant,80.8,3.2,2.3,2.1,2.1,1.1,1.0
Rasual Butler,80.8,2.6,1.7,1.7,1.6,1.2,0.1
