"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Gary Trent Jr.,,5.6,4.5,3.3,2.5,1.7,1.7,-0.2
George Senesky,88.6,6.2,4.4,3.6,2.6,2.3,2.0,0.3
Jeremy Lamb,88.5,5.3,4.9,3.3,2.7,2.7,1.6,0.2
Isaiah Rider,88.5,5.8,5.0,3.4,2.5,1.9,1.7,1.6
Lionel Hollins,87.6,5.2,4.0,3.4,2.9,2.3,1.8,0.1
Tim Hardaway Jr.,87.4,4.8,4.4,3.1,2.6,1.9,1.8,0.8
Gary Harris,87.3,5.5,4.6,4.0,2.6,1.9,0.7,-0.7
Jeremy Lin,87.3,5.4,4.4,3.5,2.7,2.7,2.1,0.5
John Salmons,87.1,5.6,3.7,3.6,2.1,1.7,1.4,0.6
Bob Weiss,87.1,5.6,4.7,3.6,2.9,1.7,0.1,0.0
Ron Brewer,86.2,5.6,4.3,3.3,1.6,1.4,0.8,0.3
