"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Kyle Guy,,0.1,0.0,-0.1
Bo Kimble,42.5,0.1,0.0,0.0
Trey Johnson,37.2,0.1,0.0,-0.1
Mac McClung,17.2,0.1,0.0,0.0
Ron Harper Jr.,15.0,0.2,0.0,0.0
Dell Demps,12.7,0.2,0.0,0.0
Jarell Eddie,-3.0,0.1,0.1,0.0
Ira Bowman,-10.5,0.1,0.1,0.0
Lindell Wigginton,-11.6,0.2,0.1,0.0
Devon Dotson,-21.2,0.2,0.1,0.0
Dominique Jones,-27.5,0.2,0.0,0.0
