"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2000-01,23,HOU,NBA,C,23.0,0.0,222.0,0.0,0.0,0.0,0.0,100.0,-13.0,-16.4,3.0,4.0,14.0,4.0,9.0,14.0,0.0,12.0,
2001-02,24,HOU,NBA,C,25.0,2.0,365.0,0.0,0.0,0.0,0.0,100.0,-16.4,-11.9,4.0,7.0,27.0,1.0,18.0,21.0,4.0,13.0,
2002-03,25,HOU,NBA,C,13.0,3.0,104.0,0.0,0.0,0.0,16.0,84.0,-2.1,-3.8,2.0,0.0,6.0,0.0,2.0,2.0,2.0,5.0,
2003-04,26,ATL,NBA,C,20.0,16.0,545.0,0.0,0.0,0.0,3.0,97.0,2.3,8.2,4.0,13.0,38.0,10.0,39.0,39.0,7.0,11.0,
2004-05,27,ATL,NBA,C,70.0,44.0,942.0,0.0,0.0,0.0,0.0,100.0,-19.7,-11.8,27.0,21.0,90.0,11.0,32.0,38.0,7.0,28.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,151.0,65.0,2178.0,0.0,0.0,0.0,1.0,99.0,-12.1,-6.9,40.0,45.0,175.0,26.0,100.0,114.0,20.0,69.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,35.0,1183.0,0.0,0.0,0.0,1.0,99.0,-12.1,-6.9,22.0,24.0,95.0,14.0,54.0,62.0,11.0,37.0,
,,,,,,,,,,,,,,,,,,,,,,,
HOU (3 Yrs),HOU (3 Yrs),HOU (3 Yrs),HOU (3 Yrs),,61.0,5.0,691.0,0.0,0.0,0.0,2.0,98.0,-13.2,-12.1,9.0,11.0,47.0,5.0,29.0,37.0,6.0,30.0,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,90.0,60.0,1487.0,0.0,0.0,0.0,1.0,99.0,-11.6,-4.5,31.0,34.0,128.0,21.0,71.0,77.0,14.0,39.0,
