"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Bol Bol,,2.3,1.6,0.9,0.1,0.1,0.0
Kevin S̩raphin,91.4,2.3,1.7,0.8,0.2,0.1,-0.2
Cliff Pondexter,90.5,2.2,1.5,1.0,,,
Al Eberhard,87.5,2.6,1.8,0.9,0.0,,
Eric Paschall,86.9,2.1,2.0,0.9,,,
Carey Scurry,86.3,2.6,1.8,0.9,,,
Derrick Brown,85.9,2.3,1.3,1.0,,,
Sam Pellom,84.7,2.2,1.8,0.7,0.0,,
Donnell Harvey,84.4,2.0,1.8,0.7,0.2,0.1,
Yuta Watanabe,83.2,2.1,1.5,0.7,0.1,-0.1,-0.2
Marty Byrnes,82.7,2.3,1.0,0.9,0.0,,
