"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
MickaÃ«l Gelabale,,1.5,1.3,0.2,
Joel Freeland,94.9,1.6,1.4,0.2,
Tom Workman,88.4,1.4,1.3,0.4,0.1
Rudy Macklin,85.8,1.8,1.4,0.1,
Derrick Chievous,82.9,1.6,1.2,-0.1,
Kenny Battle,81.6,1.9,1.3,0.3,0.1
Brian Rowsom,79.4,1.5,1.0,0.0,
Chris McNealy,78.3,1.6,0.8,0.2,
Kevin Loder,78.0,1.5,0.9,0.1,
Fred Saunders,77.9,1.3,1.2,0.5,0.1
Harry Giles,77.1,1.6,1.0,0.5,0.1
