0
2007-08 Rookie of the Year (Wilt Chamberlain Trophy)
2007-08 Sporting News Rookie of the Year
2012 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
2013-14 Most Valuable Player (Michael Jordan Trophy)
2017 Finals Most Valuable Player (Bill Russell Trophy)
2018 Finals Most Valuable Player (Bill Russell Trophy)
2019 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
2021-22 NBA 75th Anniversary Team
