"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jabari Walker,,2.9,2.0,0.2,,
Juan Toscano-Anderson,89.0,3.0,2.0,0.5,0.2,0.0
Jordan Bell,88.0,2.9,1.6,0.4,0.0,0.0
Jim Palmer,86.6,2.4,1.9,0.2,,
Paul Graham,85.1,3.6,1.9,0.2,,
Charlie Black,84.2,2.8,1.8,-0.4,,
Dave Sorenson,83.7,2.6,2.1,0.7,,
Julian Champagnie,83.4,2.5,1.8,0.4,,
Jeremy Sochan,81.6,2.7,1.4,0.2,,
Dave Lattin,80.9,3.2,2.0,0.6,0.4,0.2
Ziaire Williams,80.8,2.2,2.1,0.2,0.1,
