"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jabari Walker,,2.9,2.0,0.2
Juan Toscano-Anderson,97.6,3.0,2.0,0.2
Juancho HernangÃ³mez,93.1,3.0,1.8,0.4
Shabazz Muhammad,92.9,2.7,2.0,0.3
Jahidi White,92.3,3.2,2.1,0.2
Jerami Grant,91.0,2.9,2.1,0.5
Terry Davis,90.8,3.1,2.0,0.5
Joe Caldwell,90.5,3.3,2.0,0.3
Mike Jackson,90.2,3.1,2.4,0.2
Jalen Smith,89.5,2.8,2.3,0.1
Eric Williams,89.5,2.9,1.6,0.1
