"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Bradley Beal,,8.5,7.6,6.9,5.9,5.1,4.0,3.9,3.7,3.4,3.0,2.7,2.4,1.4
Jrue Holiday,90.8,7.1,6.9,6.6,5.7,5.4,4.2,3.9,3.8,3.4,3.4,3.3,1.5,1.2
Latrell Sprewell,90.8,8.1,8.0,6.6,5.7,5.5,5.1,4.0,3.2,3.0,2.8,2.0,1.9,0.4
Wesley Matthews,90.3,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.2,3.1,2.7,2.6,1.7,1.2
Klay Thompson,89.3,8.8,8.0,7.1,6.7,5.3,4.9,4.3,3.6,3.1,1.8,1.8,1.7,
Muggsy Bogues,89.1,8.6,6.7,6.4,5.9,5.0,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0.0
Alvin Robertson,88.8,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,,
Avery Johnson,88.4,9.1,8.0,6.7,6.3,5.2,4.1,3.9,3.4,2.6,1.6,1.3,0.5,0.3
Randy Smith,88.4,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.5,2.4,2.2,
Ron Harper,87.8,10.2,7.2,6.3,6.0,5.7,5.6,4.2,3.9,3.5,2.9,2.4,1.2,0.9
Jerry Stackhouse,87.5,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.2
