"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Bradley Beal,,8.5,7.6,6.9,5.9,5.1,4.0,3.9,3.7,3.4,3.0,2.7,2.4,1.4,,,,,
Avery Johnson,91.0,9.1,8.0,6.7,6.3,5.2,4.1,3.9,3.4,3.0,2.6,1.6,1.3,0.5,0.4,0.3,0.2,,
Latrell Sprewell,90.8,8.1,8.0,6.6,5.7,5.5,5.1,4.0,3.2,3.0,2.8,2.0,1.9,0.4,,,,,
Wesley Matthews,89.3,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.2,3.1,2.7,2.6,1.7,1.2,1.2,0.4,,,
Klay Thompson,89.3,8.8,8.0,7.1,6.7,5.3,4.9,4.3,3.6,3.1,1.8,1.8,1.7,,,,,,
Muggsy Bogues,89.0,8.6,6.7,6.4,5.9,5.0,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0.0,-0.1,,,,
Alvin Robertson,88.8,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,,,,,,,
Brad Davis,88.4,7.4,7.3,6.2,6.2,5.4,4.2,4.0,3.9,2.9,2.7,1.6,0.6,0.6,0.3,0.1,,,
Randy Smith,88.4,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.5,2.4,2.2,,,,,,
Jerry Stackhouse,87.4,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0.0,-0.4
Nick Van Exel,87.2,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4.0,3.4,2.2,1.6,1.4,1.2,,,,,
