"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2004-05,23,BOS,NBA,SF,23.0,0.0,121.0,0.517,11.6,0.897,0.379,0.069,0.034,0.414,0.103,0.577,0.545,0.5,1.0,0.583,0.0,0.733,0.138,4.0,0.667,0.0,0.0,0.0,
2005-06,24,2TM,NBA,SF,72.0,6.0,997.0,0.403,8.9,0.997,0.444,0.102,0.088,0.363,0.003,0.405,0.511,0.3,0.385,0.308,0.0,0.681,0.054,14.0,1.0,0.0,0.0,0.0,
2005-06,24,BOS,NBA,SF,32.0,0.0,291.0,0.338,8.9,1.0,0.459,0.095,0.068,0.378,0.0,0.338,0.5,0.0,0.4,0.214,,0.8,0.041,3.0,,,0.0,0.0,
2005-06,24,MIN,NBA,SF,40.0,6.0,706.0,0.425,8.8,0.995,0.439,0.104,0.095,0.357,0.005,0.427,0.515,0.391,0.381,0.342,0.0,0.649,0.059,11.0,1.0,0.0,0.0,0.0,
2006-07,25,MIN,NBA,PF,41.0,3.0,318.0,0.374,8.8,1.0,0.402,0.168,0.075,0.355,0.0,0.374,0.488,0.222,0.5,0.289,,0.725,0.065,6.0,,,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,136.0,9.0,1436.0,0.404,9.5,0.991,0.429,0.116,0.081,0.364,0.009,0.407,0.508,0.28,0.429,0.325,0.0,0.695,0.063,24.0,0.75,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,866.0,0.404,9.5,0.991,0.429,0.116,0.081,0.364,0.009,0.407,0.508,0.28,0.429,0.325,0.0,0.695,0.063,14.0,0.75,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,81.0,9.0,1024.0,0.409,8.8,0.997,0.427,0.125,0.088,0.357,0.003,0.41,0.507,0.317,0.414,0.325,0.0,0.672,0.061,17.0,1.0,0.0,0.0,0.0,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,55.0,0.0,412.0,0.388,10.2,0.971,0.437,0.087,0.058,0.388,0.029,0.4,0.511,0.111,0.5,0.325,0.0,0.775,0.068,7.0,0.667,0.0,0.0,0.0,
