"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Moses Moody,,3.5,2.4,1.3,1.3
Khalid Reeves,96.4,3.5,2.5,1.2,1.1
Jim King,93.9,3.5,2.3,1.5,1.1
Gerald Henderson,92.6,3.6,2.3,1.7,1.3
George Dempsey,92.3,3.5,2.1,1.5,1.4
Clint Richardson,91.1,3.3,2.4,1.1,1.0
Beno Udrih,91.0,3.1,2.4,1.3,1.0
Kevin Huerter,90.2,3.6,2.8,1.6,1.5
Larry Wright,89.9,3.5,2.7,1.8,1.4
Charles Johnson,89.6,3.7,2.4,1.0,0.9
Gary Neal,89.1,3.5,2.5,1.9,1.0
