"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2010-11,22,OKC,NBA,C,18.0,0.0,142.0,0.533,0.533,0.533,0.5,0.537,0.267,0.0,116.0,109.0,107.0,65.0,99.0,89.0,0.0,1.0,-0.1,
2011-12,23,OKC,NBA,C,26.0,0.0,173.0,0.524,0.524,0.524,0.929,0.592,0.333,0.0,117.0,110.0,107.0,123.0,112.0,121.0,0.0,3.1,6.2,
2012-13,24,2TM,NBA,C,45.0,0.0,388.0,0.55,0.55,0.55,0.6,0.563,0.25,0.0,121.0,114.0,111.0,80.0,105.0,92.0,0.0,8.6,5.1,
2012-13,24,HOU,NBA,C,30.0,0.0,213.0,0.535,0.535,0.535,0.444,0.532,0.209,0.0,118.0,111.0,108.0,59.0,100.0,77.0,0.0,3.3,-0.2,
2012-13,24,SAC,NBA,C,15.0,0.0,175.0,0.568,0.568,0.568,0.727,0.598,0.297,0.0,125.0,118.0,114.0,97.0,112.0,110.0,0.0,5.3,5.3,
2013-14,25,NYK,NBA,C,46.0,2.0,330.0,0.541,0.541,0.541,0.867,0.62,0.492,0.0,119.0,111.0,108.0,115.0,115.0,173.0,0.0,4.9,11.7,
2014-15,26,NYK,NBA,C,61.0,16.0,976.0,0.478,0.478,0.478,0.781,0.513,0.213,0.0,107.0,99.0,96.0,104.0,96.0,78.0,0.0,-10.5,-13.7,
2015-16,27,LAC,NBA,C,60.0,5.0,800.0,0.596,0.596,0.596,0.714,0.626,0.373,0.0,132.0,121.0,119.0,94.0,116.0,135.0,0.0,41.9,44.4,
2016-17,28,MIN,NBA,C,62.0,0.0,531.0,0.523,0.523,0.523,0.682,0.549,0.256,0.0,114.0,104.0,102.0,88.0,99.0,95.0,0.0,1.6,-0.7,
2017-18,29,MIN,NBA,C,21.0,0.0,49.0,0.333,0.333,0.333,0.333,0.34,0.4,0.0,72.0,65.0,64.0,43.0,61.0,159.0,0.0,-5.6,-7.6,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,339.0,23.0,3389.0,0.527,0.527,0.527,0.738,0.563,0.296,0.0,116.0,108.0,105.0,98.0,105.0,108.0,0.0,45.0,45.3,
,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,107.0,18.0,1306.0,0.489,0.489,0.489,0.809,0.533,0.26,0.0,108.0,101.0,98.0,107.0,100.0,94.0,0.0,-5.6,-2.0,
MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,83.0,0.0,580.0,0.495,0.495,0.495,0.607,0.516,0.277,0.0,108.0,98.0,96.0,79.0,93.0,104.0,0.0,-4.0,-8.3,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,44.0,0.0,315.0,0.526,0.526,0.526,0.833,0.578,0.316,0.0,116.0,110.0,107.0,111.0,109.0,112.0,0.0,4.1,6.1,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,60.0,5.0,800.0,0.596,0.596,0.596,0.714,0.626,0.373,0.0,132.0,121.0,119.0,94.0,116.0,135.0,0.0,41.9,44.4,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,30.0,0.0,213.0,0.535,0.535,0.535,0.444,0.532,0.209,0.0,118.0,111.0,108.0,59.0,100.0,77.0,0.0,3.3,-0.2,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,15.0,0.0,175.0,0.568,0.568,0.568,0.727,0.598,0.297,0.0,125.0,118.0,114.0,97.0,112.0,110.0,0.0,5.3,5.3,
