"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2010-11,22,OKC,NBA,C,18.0,0.0,142.0,0.533,3.8,1.0,0.4,0.6,0.0,0.0,0.0,0.533,1.0,0.222,,,0.375,0.333,5.0,0.0,0.0,
2011-12,23,OKC,NBA,C,26.0,0.0,173.0,0.524,3.6,1.0,0.548,0.429,0.024,0.0,0.0,0.524,0.696,0.333,0.0,,0.773,0.333,13.0,0.0,0.0,
2012-13,24,2TM,NBA,C,45.0,0.0,388.0,0.55,3.6,1.0,0.55,0.438,0.013,0.0,0.0,0.55,0.682,0.371,1.0,,0.636,0.25,16.0,0.0,0.0,
2012-13,24,HOU,NBA,C,30.0,0.0,213.0,0.535,4.2,1.0,0.512,0.465,0.023,0.0,0.0,0.535,0.636,0.4,1.0,,0.783,0.256,8.0,0.0,0.0,
2012-13,24,SAC,NBA,C,15.0,0.0,175.0,0.568,3.0,1.0,0.595,0.405,0.0,0.0,0.0,0.568,0.727,0.333,,,0.476,0.243,8.0,0.0,0.0,
2013-14,25,NYK,NBA,C,46.0,2.0,330.0,0.541,3.4,1.0,0.492,0.508,0.0,0.0,0.0,0.541,0.633,0.452,,,0.545,0.131,7.0,0.0,0.0,
2014-15,26,NYK,NBA,C,61.0,16.0,976.0,0.478,4.3,1.0,0.359,0.575,0.06,0.007,0.0,0.478,0.676,0.376,0.333,0.0,0.653,0.093,26.0,0.0,0.0,
2015-16,27,LAC,NBA,C,60.0,5.0,800.0,0.596,2.8,1.0,0.56,0.427,0.013,0.0,0.0,0.596,0.667,0.521,0.0,,0.776,0.093,17.0,0.0,0.0,
2016-17,28,MIN,NBA,C,62.0,0.0,531.0,0.523,3.0,1.0,0.581,0.407,0.012,0.0,0.0,0.523,0.64,0.371,0.0,,0.733,0.128,11.0,0.0,0.0,
2017-18,29,MIN,NBA,C,21.0,0.0,49.0,0.333,3.2,1.0,0.533,0.467,0.0,0.0,0.0,0.333,0.25,0.429,,,0.8,0.067,1.0,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,339.0,23.0,3389.0,0.527,3.5,1.0,0.479,0.49,0.029,0.002,0.0,0.527,0.663,0.411,0.292,0.0,0.692,0.131,96.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,6.0,820.0,0.527,3.5,1.0,0.479,0.49,0.029,0.002,0.0,0.527,0.663,0.411,0.292,0.0,0.692,0.131,23.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,107.0,18.0,1306.0,0.489,3.9,1.0,0.381,0.564,0.05,0.006,0.0,0.489,0.667,0.387,0.333,0.0,0.633,0.099,33.0,0.0,0.0,
MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,83.0,0.0,580.0,0.495,3.1,1.0,0.574,0.416,0.01,0.0,0.0,0.495,0.586,0.381,0.0,,0.74,0.119,12.0,0.0,0.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,44.0,0.0,315.0,0.526,3.7,1.0,0.509,0.474,0.018,0.0,0.0,0.526,0.759,0.296,0.0,,0.667,0.333,18.0,0.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,60.0,5.0,800.0,0.596,2.8,1.0,0.56,0.427,0.013,0.0,0.0,0.596,0.667,0.521,0.0,,0.776,0.093,17.0,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,30.0,0.0,213.0,0.535,4.2,1.0,0.512,0.465,0.023,0.0,0.0,0.535,0.636,0.4,1.0,,0.783,0.256,8.0,0.0,0.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,15.0,0.0,175.0,0.568,3.0,1.0,0.595,0.405,0.0,0.0,0.0,0.568,0.727,0.333,,,0.476,0.243,8.0,0.0,0.0,
