"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Kevin Porter Jr.,,2.9,2.2,0.8,0.3,0.0
Louie Nelson,90.5,2.9,2.3,1.1,0.0,0.0
Andrew Nembhard,85.1,2.8,2.0,1.2,,
Chris Quinn,84.8,2.6,2.1,0.6,0.1,0.1
Shabazz Napier,84.2,3.2,2.0,0.6,0.5,0.1
Jeff Judkins,84.1,3.0,1.8,0.7,0.6,0.2
Tex Ritter,84.1,2.4,2.3,1.0,,
Ralph Johnson,83.7,2.9,1.6,0.8,0.0,
Ennis Whatley,83.7,3.3,1.9,0.8,0.0,0.0
Ricky Davis,83.3,3.0,2.8,1.1,0.2,0.2
Shammond Williams,81.6,3.1,2.9,1.2,0.2,0.0
