"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Brian Scalabrine,,1.7,1.4,1.1,1.0,0.9,0.6,0.3,0.3,0.2,0.1,-0.1
Marc Iavaroni,81.7,1.7,1.5,1.4,1.1,1.0,0.7,0.6,,,,
John Wallace,81.2,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,,,
Scott Hastings,76.8,2.1,1.5,1.3,1.3,1.0,0.8,0.5,0.4,0.3,0.3,0.1
Malik Allen,76.5,1.1,1.0,1.0,1.0,0.9,0.7,0.5,0.3,0.2,0.1,
Stanley Johnson,76.4,1.8,1.8,1.0,0.7,0.6,0.5,0.4,0.0,,,
Luke Babbitt,75.5,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4,,,
Zeke Nnaji,74.4,1.8,1.6,1.2,1.2,0.9,,,,,,
Darvin Ham,73.9,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,,,
Michael Ruffin,72.8,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0,,
Anthony Randolph,72.1,1.6,1.5,1.1,0.6,0.5,0.5,,,,,
