"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Andrew Nembhard,,2.8,2.0,1.2
Hollis Thompson,94.9,2.6,2.0,1.2
Marko JariÄ,92.9,2.8,1.9,1.5
Jordan Clarkson,91.4,2.4,2.1,1.2
Torrey Craig,90.9,3.0,2.0,0.9
Louie Nelson,90.0,2.9,2.3,1.1
Randy Foye,89.6,3.1,2.3,1.1
Tony Allen,89.5,2.7,1.9,1.7
Casey Jacobsen,89.3,2.7,2.6,1.2
Deni Avdija,89.2,2.4,2.3,1.2
Quinn Buckner,88.9,3.2,2.0,1.5
