"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Nik Stauskas,,1.4,1.1,0.5,0.5,0.3,0.1
Isaiah Canaan,83.1,1.4,1.4,0.6,0.5,0.2,0.1
JaKarr Sampson,80.4,1.2,0.8,0.6,0.5,0.3,0.1
Lonnie Walker IV,78.4,1.8,1.2,0.8,0.4,0.3,0.0
Saben Lee,77.3,1.5,0.9,0.7,0.4,,
John Warren,77.3,1.7,0.9,0.8,0.5,0.3,
Steve Alford,76.7,1.4,0.9,0.6,0.3,,
Patrick McCaw,76.1,1.7,1.4,0.6,0.5,0.1,
Shaquille Harrison,75.0,1.5,1.4,0.8,0.3,0.2,0.0
Troy Daniels,74.9,1.4,1.3,1.1,0.3,0.2,0.2
Anthony Johnson,74.9,1.8,1.1,0.7,0.4,0.3,-0.2
