"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Steve Blake,,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1.0,0.7,0.3,
Alec Burks,88.6,6.1,3.7,3.3,3.2,2.5,1.9,1.8,1.7,1.5,1.5,1.5,1.4,1.0,0.8
Shaun Livingston,86.9,4.6,4.4,3.3,2.6,2.6,2.4,2.0,1.9,1.8,1.3,1.3,1.2,0.4,0.1
Eric Piatkowski,86.0,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1,0.1,0.0
Marco Belinelli,85.1,5.9,3.7,3.4,3.2,3.0,2.9,2.9,2.5,1.2,0.8,0.5,0.5,0.0,
Vernon Maxwell,84.6,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0.0,0.0,
Buddy Hield,84.0,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,,,
Gerald Henderson,83.4,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0,
George McCloud,83.4,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,,
Darrell Walker,83.4,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,,,,
Larry Hughes,82.8,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,
