Highlight,Unnamed: 1,In Stathead
"Career high, Points",23.0,View full stats from top 20 games
"Career high, Rebounds",14.0,View full stats from top 20 games
"Career high, Assists",8.0,View full stats from top 20 games
"Career high, Steals",3.0,View full stats from top 20 games
"Career high, Blocks",7.0,View full stats from top 20 games
"Career high, Game Score",22.5,View full stats from top 20 games
