"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Coby White,,4.7,4.5,3.1,2.4,2.4,0.9,,,,,
T.J. Ford,87.9,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,,,
Chico Vaughn,87.3,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,,,
Fred Jones,87.2,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,,,
John Roche,87.0,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,,,
Bruce Brown,85.8,4.8,4.4,4.3,2.2,2.1,1.5,0.7,,,,
Gary Trent Jr.,85.6,5.6,4.5,3.3,2.5,1.7,1.7,-0.2,,,,
Al Wood,85.6,4.4,4.2,2.5,2.3,1.0,0.9,,,,,
Art Williams,85.4,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0.0,,,
TomÃ¡Å¡ SatoranskÃ½,83.4,5.0,4.7,3.5,3.1,1.0,0.6,,,,,
Reggie Bullock,83.0,4.6,4.2,3.2,3.1,2.8,1.2,1.0,0.6,0.5,0.2,0.1
