"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Josh Boone,,3.7,1.8,1.8,1.7,,
George Kaftan,86.3,3.4,2.4,1.7,1.6,-0.1,
Bob Doll,86.1,4.0,2.8,1.8,1.6,,
Billy Thompson,84.9,3.6,2.8,1.7,1.6,0.0,-0.1
Anthony Bonner,82.6,4.1,2.4,1.8,1.6,0.7,0.0
Don Barksdale,81.9,3.1,2.3,2.2,1.5,,
Shellie McMillon,80.6,2.5,2.2,1.7,1.7,,
Jae'Sean Tate,79.9,3.8,3.0,1.8,1.6,0.7,
Frank Card,79.5,4.2,2.6,2.4,1.9,0.1,
Derrek Dickey,79.4,3.8,3.1,2.3,1.7,0.3,
Reggie Johnson,79.2,3.9,3.0,2.4,1.6,,
