"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Isaiah Roby,,2.9,1.3,0.0,-0.1,
Jeremy Sochan,86.8,2.7,1.4,0.2,,
Jordan Bell,81.4,2.9,1.6,0.4,0.0,0.0
Jake LaRavia,81.3,2.9,1.0,0.5,,
Jabari Walker,77.2,2.9,2.0,0.2,,
Justin Champagnie,76.3,2.8,0.8,0.3,0.0,
Charlie Black,76.1,2.8,1.8,-0.4,,
Jim Bradley,76.0,2.3,1.3,0.1,,
Charles Jones,73.9,2.9,0.9,0.6,0.1,
Sam Young,73.4,2.9,1.2,0.9,0.2,
Dick Schulz,71.2,2.9,0.8,0.6,0.0,
