Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,23.0,POR,NBA,PG,1.0,0,8:44,3.0,8.0,0.375,3.0,6.0,0.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0
2014-15,24.0,POR,NBA,PG,1.0,0,16:28,4.0,12.0,0.333,3.0,9.0,0.333,0.0,0.0,,2.0,2.0,2.0,1.0,0.0,4.0,0.0,11.0
2017-18,27.0,POR,NBA,PG,1.0,0,20:56,9.0,14.0,0.643,3.0,8.0,0.375,0.0,0.0,,2.0,3.0,2.0,0.0,0.0,1.0,0.0,21.0
2018-19,28.0,POR,NBA,PG,1.0,0,24:41,6.0,17.0,0.353,6.0,17.0,0.353,0.0,0.0,,3.0,6.0,5.0,2.0,0.0,1.0,0.0,18.0
2019-20,29.0,POR,NBA,PG,,0,,,,,,,,,,,,,,,,,,
2020-21,30.0,POR,NBA,PG,1.0,0,21:00,11.0,20.0,0.55,8.0,16.0,0.5,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,32.0
2022-23,32.0,POR,NBA,PG,1.0,0,23:24,9.0,21.0,0.429,8.0,20.0,0.4,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,0.0,26.0
2023-24,33.0,MIL,NBA,PG,1.0,1,27:30,14.0,26.0,0.538,11.0,23.0,0.478,0.0,0.0,,1.0,3.0,6.0,1.0,0.0,0.0,0.0,39.0
2024-25,34.0,MIL,NBA,PG,1.0,1,8:31,3.0,5.0,0.6,3.0,4.0,0.75,0.0,0.0,,2.0,3.0,2.0,1.0,0.0,1.0,0.0,9.0
2024-25,34.0,MIL,NBA,PG,1.0,1,2:42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Career,,,NBA,,9.0,3,154,59.0,124.0,,45.0,104.0,,2.0,2.0,,11.0,23.0,23.0,8.0,0.0,10.0,2.0,165.0
