Season,Team,Lg,Salary
2021-22,Oklahoma City Thunder,NBA,"$925,258"
2022-23,Atlanta Hawks,NBA,"$1,563,518"
2023-24,Atlanta Hawks,NBA,(TW)
2024-25,Atlanta Hawks,NBA,"$2,162,606"
Career,(may be incomplete),,"$4,651,382"
