Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2016-17,23,CHI,NBA,SG,4,0,5.5,0.5,1.5,0.333,0.3,1.0,0.25,0.3,0.5,0.5,0.417,0.0,0.0,0.0,2.0,2.0,0.5,0.0,0.3,0.5,0.3,1.3,
1 Yr,1 Yr,1 Yr,1 Yr,,4,0,5.5,0.5,1.5,0.333,0.3,1.0,0.25,0.3,0.5,0.5,0.417,0.0,0.0,0.0,2.0,2.0,0.5,0.0,0.3,0.5,0.3,1.3,
