"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Svi Mykhailiuk,,1.6,0.9,0.8,0.8,0.3,-0.1,-0.1,,
John Warren,85.0,1.7,0.9,0.8,0.5,0.3,,,,
Kevin McKenna,78.0,1.7,0.9,0.7,0.6,0.5,-0.3,,,
Brook Steppe,74.0,1.3,1.1,1.0,0.7,0.6,,,,
Saben Lee,73.1,1.5,0.9,0.7,0.4,,,,,
Sergio RodrÃ­guez,72.4,1.7,1.2,0.9,0.7,-0.2,,,,
Lindy Waters III,72.1,1.1,1.0,0.9,0.8,,,,,
Rick Brunson,71.6,1.9,0.7,0.6,0.6,0.3,-0.1,-0.1,-0.2,-0.2
Chris Carr,71.6,1.7,1.1,0.9,0.3,0.2,-0.3,,,
Todd Lichti,70.1,1.8,1.3,1.2,1.0,0.2,,,,
Shaquille Harrison,70.0,1.5,1.4,0.8,0.3,0.2,0.0,0.0,,
