"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Day'Ron Sharpe,,2.9,2.7,1.6,1.2,,,
Salah Mejri,94.1,3.0,2.7,1.3,1.1,,,
Gene Wiley,92.5,2.8,2.4,1.8,1.3,-0.1,,
Jock Landale,89.7,2.7,2.3,1.7,1.5,,,
Bob Hopkins,87.8,3.5,2.7,1.9,1.4,,,
Tarik Black,87.7,3.1,2.4,1.5,0.7,,,
Victor Alexander,86.9,3.0,2.5,2.3,1.1,-0.1,,
Isaiah Jackson,82.0,3.3,2.7,1.4,0.3,,,
Reggie Harding,80.9,3.1,2.6,1.6,0.0,,,
Ekpe Udoh,80.4,3.2,2.7,2.1,1.6,0.7,0.3,0.0
Jake Tsakalidis,78.2,2.8,2.8,1.3,1.2,0.9,0.6,0.3
