"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Anderson Varej̣o,,8.1,8.0,6.6,5.4,3.3,3.0,2.4,2.3,2.2,2.1,1.9,1.0,0.2,0.0
Bo Outlaw,89.8,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2
Drew Gooden,87.6,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0.0,-0.1
Tristan Thompson,87.6,8.7,7.3,6.8,5.7,5.2,3.1,2.9,2.6,2.5,1.6,1.4,1.1,0.4,
Bryon Russell,86.9,8.8,7.4,6.8,6.0,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0.0,
Kelly Tripucka,85.8,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2.0,1.7,,,,
Joe Ingles,85.4,7.6,7.0,6.0,5.0,4.8,2.6,2.3,2.3,2.2,2.2,-0.1,,,
Dwight Powell,84.6,8.2,7.5,6.6,5.1,4.6,3.8,3.6,3.1,3.1,1.7,0.6,,,
Scott Wedman,84.2,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1,
Ed Pinckney,82.3,7.5,6.2,6.1,4.7,4.0,3.7,2.9,2.7,2.3,1.6,0.7,0.3,,
Vin Baker,82.2,10.4,8.3,6.2,5.8,4.4,3.5,2.8,2.2,1.8,1.6,0.4,0.1,-0.4,
