Season,Team,Lg,Salary
2004-05,Cleveland Cavaliers,NBA,"$788,000"
2005-06,Cleveland Cavaliers,NBA,"$866,800"
2006-07,Cleveland Cavaliers,NBA,"$945,600"
2007-08,Cleveland Cavaliers,NBA,"$5,356,000"
2008-09,Cleveland Cavaliers,NBA,"$5,784,480"
2009-10,Cleveland Cavaliers,NBA,"$6,300,000"
2010-11,Cleveland Cavaliers,NBA,"$7,281,818"
2011-12,Cleveland Cavaliers,NBA,"$7,700,000"
2012-13,Cleveland Cavaliers,NBA,"$8,368,182"
2013-14,Cleveland Cavaliers,NBA,"$9,036,364"
2014-15,Cleveland Cavaliers,NBA,"$9,704,595"
2015-16,Portland Trail Blazers,NBA,"$9,638,554"
2015-16,Golden State Warriors,NBA,"$458,575"
2016-17,Portland Trail Blazers,NBA,"$1,984,005"
2016-17,Golden State Warriors,NBA,"$1,551,659"
2017-18,Portland Trail Blazers,NBA,"$1,913,345"
2018-19,Portland Trail Blazers,NBA,"$1,913,345"
2019-20,Portland Trail Blazers,NBA,"$1,913,345"
2020-21,Portland Trail Blazers,NBA,"$1,913,345"
2020-21,Cleveland Cavaliers,NBA,"$144,297"
Career,(may be incomplete),,"$83,562,309"
