"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Nerlens Noel,,5.2,4.9,4.3,4.0,4.0,3.0,1.5,1.3,0.0
Kelvin Cato,94.0,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3
Dave Corzine,90.5,5.2,5.1,4.7,4.2,4.0,2.9,2.9,1.1,0.9
Richaun Holmes,90.3,6.1,4.9,4.3,3.8,3.2,2.8,1.5,1.3,0.8
Steve Johnson,89.4,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.0
Zaza Pachulia,88.5,5.0,4.8,3.9,3.9,3.1,2.9,2.7,1.1,0.3
Wendell Carter Jr.,88.0,5.0,4.6,4.6,4.4,3.4,3.3,1.9,,
Alton Lister,87.4,5.5,5.3,4.1,4.1,4.0,3.8,3.7,1.7,0.1
Benoit Benjamin,87.1,5.4,5.1,4.1,4.0,3.0,2.2,2.0,1.1,0.9
Greg Ostertag,87.0,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4
Matt Geiger,86.4,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7
