"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2013-14,21,CHA,NBA,C,3.0,1.0,48.0,0.6,0.6,0.6,0.333,0.524,1.2,0.0,132.0,123.0,120.0,44.0,97.0,422.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,TOR,NBA,C,20.0,10.0,506.0,0.58,0.58,0.58,0.597,0.611,1.043,0.0,128.0,118.0,115.0,79.0,113.0,378.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2021-22,29,PHO,NBA,C,9.0,0.0,86.0,0.647,0.647,0.647,0.5,0.636,0.353,0.0,140.0,122.0,122.0,65.0,112.0,142.0,0.0,
2022-23,30,PHO,NBA,C,8.0,0.0,78.0,0.563,0.563,0.563,0.5,0.564,1.125,0.0,118.0,103.0,103.0,64.0,97.0,422.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,40.0,11.0,718.0,0.589,0.589,0.589,0.559,0.602,0.953,0.0,128.0,116.0,115.0,73.0,110.0,349.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,17.0,0.0,164.0,0.606,0.606,0.606,0.5,0.597,0.727,0.0,129.0,112.0,113.0,64.0,104.0,278.0,0.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,20.0,10.0,506.0,0.58,0.58,0.58,0.597,0.611,1.043,0.0,128.0,118.0,115.0,79.0,113.0,378.0,0.0,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,3.0,1.0,48.0,0.6,0.6,0.6,0.333,0.524,1.2,0.0,132.0,123.0,120.0,44.0,97.0,422.0,0.0,
