"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Kelly Olynyk,,5.5,5.1,4.9,4.7,4.3,4.1,4.1,3.7,3.6,2.9,1.7,1.6
Mark Eaton,86.8,6.6,5.5,5.4,5.3,4.1,4.0,3.8,3.7,3.6,1.9,0.8,
Rick Mahorn,85.8,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3
Samuel Dalembert,83.5,6.9,6.9,6.2,5.2,4.9,4.1,4.0,3.9,3.6,2.9,2.2,0.3
Dave Corzine,83.4,5.2,5.1,4.9,4.7,4.2,4.0,2.9,2.9,1.4,1.1,0.9,-0.2
Theo Ratliff,82.0,6.8,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,0.1,0.0
Olden Polynice,81.5,6.7,5.3,5.2,5.1,4.5,3.3,2.6,2.5,2.0,1.6,1.5,1.5
Brendan Haywood,81.0,6.8,6.7,5.2,5.0,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1
Leroy Ellis,80.3,6.4,5.8,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6
Channing Frye,80.3,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3.0,2.1,1.5,0.9,0.8
Rasho NesteroviÄ,80.1,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3.0,2.2,1.5,0.8,0.0
