"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Andrea Bargnani,,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1
Derek Strong,91.2,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0
Glen Davis,89.7,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,
Justin Holiday,89.4,4.2,3.1,2.5,2.1,1.7,1.4,1.3,0.6,0.1,-0.1
Scott Williams,88.4,3.9,3.9,3.1,2.6,2.3,1.7,1.7,0.9,0.3,-0.1
Kyle O'Quinn,87.9,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0,,
Francisco GarcÃ­a,87.7,4.2,3.0,2.4,2.4,1.8,1.6,1.3,1.0,0.8,-0.2
Howard Porter,86.6,4.1,3.9,2.7,2.4,2.4,1.1,1.0,,,
Barry Clemens,86.5,3.5,3.5,2.8,1.8,1.7,1.6,1.6,0.9,0.1,0.1
Pat Cummings,85.1,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6
Ronny Turiaf,85.0,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0.0
