"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Caleb Houstan,,1.8,1.5,0.7,,
Richie Regan,88.0,1.6,1.5,0.4,,
Corky Devlin,87.0,1.8,1.2,0.8,,
Sidney Lowe,87.0,1.7,1.5,0.5,0.3,
Rashad McCants,85.5,1.7,1.6,0.6,-0.3,
Kenny Higgs,84.4,2.2,1.5,1.0,,
Quinn Cook,82.4,1.8,1.6,0.3,0.2,0.2
Steve Bracey,81.4,2.1,1.5,0.3,,
Patrick McCaw,79.8,1.7,1.4,0.6,0.5,0.1
Kevin O'Shea,78.8,2.1,1.2,0.5,,
Chink Crossin,78.6,2.1,1.2,0.5,,
