Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2023-24,21,ORL,NBA,SF,3,0,14,3.6,7.2,0.5,3.6,7.2,0.5,0.0,0.0,,0.75,0.0,0.0,3.6,3.6,7.2,0.0,0.0,0.0,0.0,0.0,10.9,162,109,
2024-25,22,ORL,NBA,SF,5,0,47,2.2,15.7,0.143,2.2,11.2,0.2,0.0,4.5,0.0,0.214,0.0,0.0,2.2,2.2,4.5,1.1,0.0,1.1,2.2,3.4,6.7,52,123,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,8,0,61,2.6,13.7,0.188,2.6,10.3,0.25,0.0,3.4,0.0,0.281,0.0,0.0,2.6,2.6,5.1,0.9,0.0,0.9,1.7,2.6,7.7,65,119,
