0
2004-05 NBA 287 (4th)
2005-06 NBA 288 (2nd)
2006-07 NBA 283 (3rd)
2007-08 NBA 279 (4th)
2008-09 NBA 336 (1st)
2009-10 NBA 284 (2nd)
2010-11 NBA 309 (3rd)
2011-12 NBA 200 (11th)
2012-13 NBA 251 (11th)
2013-14 NBA 231 (10th)
2015-16 NBA 238 (7th)
2016-17 NBA 296 (4th)
2017-18 NBA 255 (5th)
2019-20 NBA 172 (12th)
2020-21 NBA 190 (10th)
Career 4151 (8th)
Career NBA 4151 (7th)
Career Playoffs 441 (19th)
Career NBA Playoffs 441 (16th)
Career (Reg+Playoffs) 4592 (8th)
Career NBA (Reg+Playoffs) 4592 (8th)
