"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Lucas Nogueira,,3.7,1.6,0.7,0.0,,
Jack Toomay,91.8,3.6,1.6,1.1,,,
Gustavo AyÃ³n,82.2,3.2,1.2,0.7,,,
Howie Schultz,78.7,3.0,2.0,0.6,,,
Craig Raymond,78.6,4.7,1.7,1.0,0.0,0.0,
Neemias Queta,76.5,3.2,1.8,0.1,0.1,,
Rich Niemann,76.0,4.4,1.4,1.2,0.2,,
Greg Oden,74.9,4.6,2.2,0.5,,,
Vladimir Stepania,73.5,2.9,1.7,0.8,0.2,-0.1,-0.3
Will Frazier,70.1,3.8,0.9,-0.1,,,
Jamie Feick,70.0,4.8,2.2,0.9,0.2,0.2,
