"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Alex Len,,4.5,3.4,3.2,3.0,2.7,2.5,1.3,1.3,0.9,0.7,0.3,0.2
Chris Dudley,86.2,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.5,1.0,0.2,0.1,0.0
Marreese Speights,83.7,4.2,4.0,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6,,
Otto Moore,83.5,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,,
Chris Kaman,83.4,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.0
Spencer Hawes,83.1,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,,
John Henson,83.0,4.9,3.6,3.3,2.7,2.3,1.9,1.4,0.6,,,,
Joe Meriweather,82.8,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,,
Mel Counts,82.3,5.0,4.3,4.2,2.9,2.7,2.0,1.9,1.5,1.5,1.0,0.4,0.3
Clemon Johnson,82.2,4.3,4.0,3.7,3.5,2.2,2.0,2.0,1.7,1.2,0.9,,
Aron Baynes,82.1,4.1,3.9,3.0,3.0,2.4,2.1,1.0,0.6,0.1,,,
