"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2020-21,27,WAS,NBA,C,5.0,3.0,42.0,0.571,3.8,1.0,0.429,0.5,0.071,0.0,0.0,0.571,0.833,0.286,1.0,0.75,0.143,2.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,SAC,NBA,C,7.0,0.0,54.0,0.778,2.0,1.0,0.778,0.222,0.0,0.0,0.0,0.778,0.857,0.5,,0.714,0.556,5.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,31,LAL,NBA,C,2.0,0.0,4.0,0.0,8.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,14.0,3.0,100.0,0.625,4.8,1.0,0.542,0.417,0.042,0.0,0.0,0.625,0.846,0.3,1.0,0.733,0.292,7.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,18.0,586.0,0.625,4.8,1.0,0.542,0.417,0.042,0.0,0.0,0.625,0.846,0.3,1.0,0.733,0.292,41.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,54.0,0.778,2.0,1.0,0.778,0.222,0.0,0.0,0.0,0.778,0.857,0.5,,0.714,0.556,5.0,0.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,3.0,42.0,0.571,3.8,1.0,0.429,0.5,0.071,0.0,0.0,0.571,0.833,0.286,1.0,0.75,0.143,2.0,0.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,2.0,0.0,4.0,0.0,8.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,
