"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Isaiah Livers,,1.0,0.7,-0.1,,,
Darnell Jackson,77.6,0.8,0.7,-0.3,,,
James Wilkes,76.5,1.1,0.8,0.1,,,
Walt Piatkowski,75.8,1.2,0.8,-0.2,,,
Lou Tsioropoulos,73.0,1.4,0.7,0.0,,,
David Roddy,72.3,1.1,0.5,0.1,,,
Dontonio Wingfield,71.7,0.9,0.9,0.0,-0.1,,
Joe Holland,67.0,1.2,0.6,0.2,,,
Thanasis Antetokounmpo,66.8,0.9,0.7,0.2,0.1,0.0,0.0
Dennis Wuycik,66.7,1.4,0.9,-0.1,,,
Nathan Knight,66.0,1.0,0.7,0.4,,,
