"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Isaiah Livers,,1.0,0.7,-0.1
Michael Ruffin,89.4,1.0,0.6,0.0
Antonio Lang,83.9,0.8,0.7,-0.1
Justin Holiday,83.3,1.3,0.6,-0.1
Alec Kessler,83.2,1.2,0.8,-0.1
Jay Miller,82.3,0.9,0.7,-0.3
Dickey Simpkins,77.9,1.2,0.7,0.1
Darnell Jackson,77.6,0.8,0.7,-0.3
James Wilkes,76.5,1.1,0.8,0.1
Walt Piatkowski,75.8,1.2,0.8,-0.2
Josh Powell,75.7,1.1,0.7,0.3
