"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jonathan Isaac,,4.0,3.6,3.4,2.5,0.3,0.2
Terrence Ross,92.5,4.2,3.6,3.5,2.4,0.9,0.3
Tom Abernethy,92.4,4.1,3.7,3.1,2.0,0.4,
Drew Eubanks,89.8,4.4,3.4,3.1,2.3,0.8,0.3
Malik Rose,88.9,4.4,3.4,3.3,2.6,1.1,0.4
Saddiq Bey,88.7,4.0,3.9,3.5,3.3,,
Wilson Chandler,88.6,3.9,3.1,3.1,2.7,0.5,-0.1
Jumaine Jones,87.8,3.7,3.3,2.9,2.3,0.1,0.0
Popeye Jones,87.6,4.2,3.7,3.6,3.6,0.5,0.3
Ron Anderson,86.9,4.4,3.8,3.1,2.5,1.5,0.3
Ronny Turiaf,86.5,4.2,3.6,3.2,3.1,1.4,0.4
