"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Terence Morris,,0.9,0.2,-0.1,,
Ivano Newbill,80.5,1.1,0.1,-0.1,,
Jim Tucker,77.6,1.0,0.3,0.0,,
Brian Quinnett,72.8,0.8,0.1,-0.1,,
Alton Ford,67.8,0.8,0.1,-0.1,,
David Thirdkill,67.8,1.0,0.3,0.0,0.0,-0.1
Kenny Dennard,66.8,1.1,0.3,0.1,,
Glenn McDonald,66.7,1.1,0.2,-0.2,,
Bob Peterson,66.6,0.9,0.4,0.2,,
Alize Johnson,64.6,0.9,0.3,0.1,0.0,-0.1
Scott English,61.9,1.0,0.0,-0.2,,
