Season,Team,Lg,Salary
2011-12,Golden State Warriors,NBA,"$2,126,520"
2012-13,Golden State Warriors,NBA,"$2,286,000"
2013-14,Golden State Warriors,NBA,"$2,317,920"
2014-15,Golden State Warriors,NBA,"$3,075,880"
2015-16,Golden State Warriors,NBA,"$15,500,000"
2016-17,Golden State Warriors,NBA,"$16,663,575"
2017-18,Golden State Warriors,NBA,"$17,826,150"
2018-19,Golden State Warriors,NBA,"$18,988,725"
2019-20,Golden State Warriors,NBA,"$32,742,000"
2020-21,Golden State Warriors,NBA,"$35,361,360"
2021-22,Golden State Warriors,NBA,"$37,980,720"
2022-23,Golden State Warriors,NBA,"$40,600,080"
2023-24,Golden State Warriors,NBA,"$43,219,440"
2024-25,Dallas Mavericks,NBA,"$15,873,016"
Career,(may be incomplete),,"$284,561,386"
