Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2015-16,23,ATL,NBA,C,11,0,73,11,19,.579,0,0,11,19,.579,.579,3,8,.375,7,14,21,3,1,6,5,8,25,0,
2016-17,24,2TM,NBA,C,2,0,28,4,5,.800,0,0,4,5,.800,.800,0,3,.000,4,7,11,1,0,6,2,3,8,0,
2016-17,24,ATL,NBA,C,1,0,4,1,1,1.000,0,0,1,1,1.000,1.000,0,2,.000,0,1,1,0,0,0,0,0,2,0,
2016-17,24,CLE,NBA,C,1,0,24,3,4,.750,0,0,3,4,.750,.750,0,1,.000,4,6,10,1,0,6,2,3,6,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,13,0,101,15,24,.625,0,0,15,24,.625,.625,3,11,.273,11,21,32,4,1,12,7,11,33,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,637,95,151,.625,0,0,95,151,.625,.625,19,69,.273,69,132,202,25,6,76,44,69,208,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,12,0,77,12,20,.600,0,0,12,20,.600,.600,3,10,.300,7,15,22,3,1,6,5,8,27,0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,1,0,24,3,4,.750,0,0,3,4,.750,.750,0,1,.000,4,6,10,1,0,6,2,3,6,0,
