"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '16-3P')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2002-03,22,MIL,NBA,PF,2,1,24,0.667,9.9,1.0,0.333,0.333,0.0,0.333,0.0,0.667,1.0,0.0,1.0,0.75,0.0,0,0,0,
2003-04,23,MIL,NBA,PF,1,0,3,1.0,18.6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0,1.0,0.0,0,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,3,1,27,0.714,14.2,1.0,0.286,0.286,0.0,0.429,0.0,0.714,1.0,0.0,1.0,0.8,0.0,0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,27,738,0.714,14.2,1.0,0.286,0.286,0.0,0.429,0.0,0.714,1.0,0.0,1.0,0.8,0.0,0,0,0,
