Season,Team,Lg,Salary
2022-23,Denver Nuggets,NBA,"$2,808,600"
2023-24,Denver Nuggets,NBA,"$2,949,120"
2024-25,Denver Nuggets,NBA,"$3,089,640"
Career,(may be incomplete),,"$8,847,360"
