"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Christian Braun,,8.0,3.4,1.9,,,,,,,
Charlie Beasley,86.9,8.0,4.1,2.6,0.7,,,,,,
Buddy Jeannette,84.8,8.2,4.9,2.6,,,,,,,
Steve Chubin,84.7,6.9,4.0,1.7,,,,,,,
Tim Legler,72.7,6.8,3.4,1.0,0.8,0.3,0.1,0.0,0.0,-0.1,-0.3
Don Carlson,69.6,5.8,2.8,2.6,0.2,,,,,,
Brent Price,69.4,7.4,2.2,1.6,0.7,0.7,0.1,0.0,0.0,-0.6,
Ray Lumpp,67.7,6.7,3.3,2.0,1.9,1.7,,,,,
Rudy FernÃ¡ndez,67.6,6.1,3.8,3.0,1.2,,,,,,
Derek Smith,66.6,8.0,2.9,2.6,1.6,1.5,0.9,0.8,0.0,0.0,
Jalen Green,66.4,5.1,3.1,1.8,0.7,,,,,,
