"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Michael Bradley,,1.5,0.2,0.1,0.1,0.0
Brian Evans,84.9,1.5,0.1,0.1,,
Perry Jones,81.6,1.5,0.2,0.0,,
Chris Singleton,76.2,1.5,0.5,0.2,,
Stephen Howard,75.1,1.3,0.2,0.1,0.0,
Joe Roberts,73.0,1.9,0.2,0.2,0.0,
Chris Silva,72.6,1.3,0.3,0.2,0.0,
Mario Bennett,69.5,1.5,0.5,0.0,-0.1,
Vlatko ÄanÄar,69.3,1.7,0.4,0.3,0.1,-0.1
KornÃ©l DÃ¡vid,68.3,1.7,0.4,0.3,,
Alan Williams,66.9,2.1,0.2,0.2,0.0,
