"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Carlos Delfino,,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5
Henry Bibby,93.6,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0
Pat Connaughton,91.4,4.4,3.9,3.5,3.4,2.5,2.5,0.6,-0.2
Allen Leavell,90.9,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6
Norman Powell,90.8,4.7,4.6,3.5,2.8,2.8,2.4,1.6,0.6
Cory Joseph,90.5,4.5,3.5,3.5,3.4,3.1,2.9,0.9,0.0
Alex Caruso,89.9,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5
John Williamson,89.4,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3
Maurice Evans,89.2,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.1
T.J. McConnell,89.1,4.8,3.8,3.8,3.3,3.1,2.9,1.9,1.3
O.J. Mayo,88.2,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1
