"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Meyers Leonard,,3.0,2.8,2.4,2.2,2.1,1.4,1.1,0.6,0.3,0.0,,,,,
Vitaly Potapenko,87.5,3.4,3.1,2.5,2.2,1.5,1.1,1.0,0.5,0.2,0.1,-0.1,,,,
Bill Wennington,85.8,3.5,2.8,2.3,2.1,2.0,1.3,1.2,0.9,0.8,0.5,0.4,0.1,-0.3,,
Jim Barnes,85.3,3.4,2.9,2.4,2.1,2.1,1.1,0.3,,,,,,,,
Sean Rooks,82.9,3.0,2.3,2.2,1.8,1.8,1.5,1.1,1.1,0.6,0.4,0.3,0.2,,,
Willy HernangÃ³mez,80.9,3.4,3.2,2.9,2.6,1.8,1.6,0.8,,,,,,,,
Luc Longley,80.6,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0.0,,,,,
Len Elmore,79.9,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0,,,,,
Duane Causwell,79.7,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0.0,0.0,,,,
Michael Doleac,79.4,3.0,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0.0,,,,,
Joe Kleine,79.3,3.1,2.6,2.6,2.3,1.6,1.5,1.4,1.2,1.0,0.9,0.4,0.3,0.1,0.1,0.0
