"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Carsen Edwards,,0.3,0.1,-0.1,
A.J. Guyton,70.1,0.3,0.1,-0.1,
Dave Jamerson,69.9,0.2,0.1,-0.1,
Brad Holland,69.4,0.3,0.1,-0.1,
Elijah Millsap,66.9,0.4,0.1,-0.1,
Malcolm Lee,54.1,0.4,0.1,0.0,
R.J. Hunter,53.1,0.3,0.1,0.0,0.0
Gerald Madkins,52.6,0.3,0.1,0.0,
Russ Lee,51.7,0.3,0.2,0.0,
Michael Phelps,51.2,0.3,0.1,-0.1,
Quinndary Weatherspoon,49.2,0.2,0.1,-0.1,
