"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Romeo Langford,,1.3,0.5,0.2,0.0
Vonteego Cummings,91.5,1.3,0.6,0.2,
Matt Thomas,91.5,1.2,0.6,0.2,
Tre Mann,88.5,1.2,0.5,0.1,0.1
Trent Forrest,86.6,1.3,0.7,0.2,-0.1
Jeff Dowtin Jr.,85.6,1.3,0.6,0.4,0.0
Ray McCallum,84.9,1.4,0.4,0.3,
Terence Stansbury,83.4,1.5,0.6,0.3,
Nate Hawthorne,80.7,1.1,0.5,0.1,
Brooks Thompson,80.5,1.1,0.6,0.2,0.1
Jared Butler,79.7,1.4,0.6,0.4,0.1
