"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Roy Hibbert,,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8
Rick Mahorn,92.5,6.2,5.9,5.9,4.8,4.6,3.6,2.5,1.8,1.3
Steve Hawes,89.5,6.1,6.0,5.7,5.4,3.4,3.2,2.5,1.9,1.0
Joe Barry Carroll,89.0,7.0,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7
Greg Ostertag,87.2,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4
Wayne Embry,87.0,6.7,6.3,5.6,4.5,3.4,2.0,1.9,1.5,1.2
LaSalle Thompson,86.9,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.2
Cody Zeller,86.5,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1
Ervin Johnson,86.4,6.4,5.2,5.1,4.9,3.9,3.0,2.3,1.3,0.7
Olden Polynice,86.4,6.7,5.3,5.2,5.1,4.5,2.6,2.5,1.6,1.5
Kelly Olynyk,86.1,5.5,5.1,4.7,4.1,4.1,3.7,3.6,2.9,1.6
