Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2006-07,22,NJN,NBA,PF,12,0,118,12,24,0.5,0,0,12,24,0.5,0.5,12,24,0.5,7,12,19,3,1,3,3,16,36,0,
1 Yr,1 Yr,1 Yr,1 Yr,,12,0,118,12,24,0.5,0,0,12,24,0.5,0.5,12,24,0.5,7,12,19,3,1,3,3,16,36,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,806,82,164,0.5,0,0,82,164,0.5,0.5,82,164,0.5,48,82,130,21,7,21,21,109,246,0,
