"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Chris Wilcox,,6.0,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2
Alan Henderson,93.1,6.0,4.3,3.1,3.1,2.6,2.0,1.9,1.3,1.3,0.7,0.2
Al-Farouq Aminu,88.2,5.8,4.2,4.0,3.3,3.1,3.1,1.9,1.4,0.7,0.1,0.1
Austin Croshere,87.7,5.4,4.1,4.1,3.4,3.2,2.6,2.0,1.3,1.1,0.3,0.0
Phil Jackson,87.6,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5
Luc Mbah a Moute,86.8,4.8,4.7,4.0,3.1,2.8,2.4,1.6,1.1,1.0,0.5,0.0
Malik Rose,85.2,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4,0.1
Billy Owens,85.1,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2,
Gary Trent,84.7,5.5,4.0,3.3,3.1,3.0,2.3,1.7,0.4,0.1,,
Ollie Johnson,84.5,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0,1.3,0.2,
Anthony Tolliver,84.4,5.3,3.3,3.2,2.8,2.7,2.5,2.3,1.2,1.2,0.9,0.0
