Season,Team,Lg,Salary
2007-08,San Antonio Spurs,NBA,"$938,760"
2008-09,San Antonio Spurs,NBA,"$1,009,200"
2009-10,San Antonio Spurs,NBA,"$1,079,640"
2010-11,Dallas Mavericks,NBA,"$762,196"
2012-13,Indiana Pacers,NBA,"$4,000,000"
2013-14,Indiana Pacers,NBA,"$4,000,000"
2014-15,Indiana Pacers,NBA,"$4,000,000"
2015-16,Indiana Pacers,NBA,"$4,000,000"
2016-17,Washington Wizards,NBA,"$15,944,154"
2017-18,Washington Wizards,NBA,"$16,661,641"
2018-19,Washington Wizards,NBA,"$15,944,154"
2019-20,Washington Wizards,NBA,"$15,450,051"
Career,(may be incomplete),,"$83,789,796"
