Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2009-10,23,SAS,NBA,C,2.0,0.0,19.0,8.3,16.7,0.5,0.0,0.0,8.3,16.7,0.5,0.5,8.3,11.1,0.75,0.0,5.6,5.6,0.0,0.0,2.8,5.6,8.3,25.0,92.0,111.0,
2010-11,24,DAL,NBA,C,6.0,0.0,33.0,5.0,8.4,0.6,0.0,0.0,5.0,8.4,0.6,0.6,8.4,15.1,0.556,5.0,5.0,10.1,0.0,1.7,0.0,0.0,26.9,18.5,140.0,107.0,
2011-12,25,DAL,NBA,C,4.0,0.0,70.0,6.8,10.6,0.643,0.0,0.0,6.8,10.6,0.643,0.643,8.3,9.8,0.846,6.8,6.8,13.6,0.0,2.3,2.3,0.8,9.8,21.9,156.0,107.0,
2012-13,26,IND,NBA,C,18.0,0.0,150.0,4.8,10.6,0.448,0.0,0.0,4.8,10.6,0.448,0.448,1.1,3.7,0.3,7.3,8.1,15.4,0.4,0.0,4.8,4.4,10.3,10.6,83.0,102.0,
2013-14,27,IND,NBA,C,19.0,0.0,241.0,2.9,6.1,0.481,0.0,0.0,2.9,6.1,0.481,0.481,2.5,4.1,0.611,5.0,5.2,10.1,0.7,1.1,3.6,2.3,8.6,8.3,105.0,104.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,29,IND,NBA,C,7.0,7.0,172.0,6.6,13.2,0.5,0.0,0.0,6.6,13.2,0.5,0.5,4.7,7.9,0.6,3.8,7.5,11.3,2.5,1.6,1.9,4.4,7.9,17.9,97.0,103.0,
2016-17,30,WAS,NBA,C,5.0,0.0,63.0,3.9,7.1,0.556,0.0,0.0,3.9,7.1,0.556,0.556,3.2,8.7,0.364,2.4,6.3,8.7,4.7,0.8,4.7,2.4,13.4,11.0,103.0,109.0,
2017-18,31,WAS,NBA,C,6.0,0.0,52.0,9.5,13.3,0.714,0.0,0.0,9.5,13.3,0.714,0.714,9.5,10.4,0.909,3.8,6.6,10.4,0.9,3.8,4.7,0.9,9.5,28.5,160.0,103.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,67.0,7.0,800.0,5.2,9.8,0.527,0.0,0.0,5.2,9.8,0.527,0.527,4.1,6.8,0.614,4.9,6.6,11.4,1.3,1.3,3.3,2.9,10.0,14.5,108.0,104.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,44.0,7.0,563.0,4.5,9.5,0.48,0.0,0.0,4.5,9.5,0.48,0.48,2.8,5.1,0.547,5.2,6.7,11.9,1.2,1.0,3.4,3.5,8.8,11.9,96.0,103.0,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,11.0,0.0,115.0,6.5,9.9,0.652,0.0,0.0,6.5,9.9,0.652,0.652,6.0,9.5,0.636,3.0,6.5,9.5,3.0,2.2,4.7,1.7,11.6,18.9,132.0,106.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,10.0,0.0,103.0,6.3,9.9,0.632,0.0,0.0,6.3,9.9,0.632,0.632,8.3,11.5,0.727,6.3,6.3,12.5,0.0,2.1,1.6,0.5,15.1,20.9,151.0,107.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,2.0,0.0,19.0,8.3,16.7,0.5,0.0,0.0,8.3,16.7,0.5,0.5,8.3,11.1,0.75,0.0,5.6,5.6,0.0,0.0,2.8,5.6,8.3,25.0,92.0,111.0,
